miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-mir-3655,0,0,N
hsa-mir-3656,0,0,N
hsa-mir-3657,0,0,N
hsa-mir-3658,0,0,N
hsa-mir-3659,0,0,N
hsa-mir-365a,1221,239.353897,Y
hsa-mir-365b,1221,239.353897,Y
hsa-mir-3660,0,0,N
hsa-mir-3661,0,0,N
hsa-mir-3662,7,1.372217,N
hsa-mir-3663,0,0,N
hsa-mir-3664,4,0.784124,N
hsa-mir-3665,0,0,N
hsa-mir-3666,0,0,N
hsa-mir-3667,2,0.392062,N
hsa-mir-3668,0,0,N
hsa-mir-367,0,0,N
hsa-mir-3670-1,0,0,N
hsa-mir-3670-2,0,0,N
hsa-mir-3670-3,0,0,N
hsa-mir-3670-4,0,0,N
hsa-mir-3671,0,0,N
hsa-mir-3672,0,0,N
hsa-mir-3674,0,0,N
hsa-mir-3675,0,0,N
hsa-mir-3677,19,3.72459,N
hsa-mir-3678,3,0.588093,N
hsa-mir-3679,0,0,N
hsa-mir-3680-1,1,0.196031,N
hsa-mir-3680-2,0,0,N
hsa-mir-3681,1,0.196031,N
hsa-mir-3682,3,0.588093,N
hsa-mir-3683,0,0,N
hsa-mir-3684,2,0.392062,N
hsa-mir-3685,0,0,N
hsa-mir-3686,0,0,N
hsa-mir-3687-1,0,0,N
hsa-mir-3687-2,0,0,N
hsa-mir-3688-1,1,0.196031,N
hsa-mir-3688-2,0,0,N
hsa-mir-3689a,0,0,N
hsa-mir-3689b,1,0.196031,N
hsa-mir-3689c,0,0,N
hsa-mir-3689d-1,0,0,N
hsa-mir-3689d-2,0,0,N
hsa-mir-3689e,0,0,N
hsa-mir-3689f,0,0,N
hsa-mir-369,54,10.585676,N
hsa-mir-3690-1,10,1.96031,N
hsa-mir-3690-2,0,0,N
hsa-mir-3691,0,0,N
hsa-mir-3692,0,0,N
hsa-mir-370,47,9.213459,N
hsa-mir-3713,0,0,N
hsa-mir-3714,0,0,N
hsa-mir-371a,0,0,N
hsa-mir-371b,0,0,N
hsa-mir-372,10,1.96031,N
hsa-mir-373,4,0.784124,N
hsa-mir-374a,2963,580.839966,N
hsa-mir-374b,357,69.983081,N
hsa-mir-374c,0,0,N
hsa-mir-375,886,173.6835,N
hsa-mir-376a-1,17,3.332528,N
hsa-mir-376a-2,5,0.980155,N
hsa-mir-376b,9,1.764279,N
hsa-mir-376c,40,7.841242,N
hsa-mir-377,31,6.076962,N
hsa-mir-378a,6790,1331.050748,N
hsa-mir-378b,0,0,N
hsa-mir-378c,68,13.330111,N
hsa-mir-378d-1,5,0.980155,N
hsa-mir-378d-2,4,0.784124,N
hsa-mir-378e,0,0,N
hsa-mir-378f,1,0.196031,N
hsa-mir-378g,1,0.196031,N
hsa-mir-378h,0,0,N
hsa-mir-378i,5,0.980155,N
hsa-mir-378j,0,0,N
hsa-mir-379,2836,555.944024,N
hsa-mir-380,4,0.784124,N
hsa-mir-381,212,41.55858,N
hsa-mir-382,125,24.50388,N
